Wkr-Nr.;Land;Wahlkreisname;Wahlberechtigte;Wähler;Ungültige;Ungültige;Gültige;Gültige;CDU;CDU;SPD;SPD;FDP;FDP;DIE LINKE;DIE LINKE;GRÜNE;GRÜNE;CSU;CSU;PIRATEN;PIRATEN;NPD;NPD;Tierschutzpartei;Tierschutzpartei;REP;REP;ÖDP;ÖDP;FAMILIE;FAMILIE;Bündnis 21/RRP;Bündnis 21/RRP;RENTNER;RENTNER;BP;BP;PBC;PBC;BüSo;BüSo;DIE VIOLETTEN;DIE VIOLETTEN;MLPD;MLPD;Volksabstimmung;Volksabstimmung;PSG;AfD;AfD;BIG;BIG;pro Deutschland;pro Deutschland;DIE RECHTE;DIE FRAUEN;FREIE WÄHLER;FREIE WÄHLER;Nichtwähler;PARTEI DER VERNUNFT;PARTEI DER VERNUNFT;Die PARTEI;Die PARTEI;Bergpartei;BGD;DKP;NEIN!;WGr/EB
;;;;;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen
32;NI;Cloppenburg – Vechta;216300;153769;1416;1205;152353;152564;101015;96401;32422;30168;2812;7073;3821;4259;5702;6488;0;0;0;1816;870;877;0;681;0;51;0;0;1022;0;0;0;0;0;0;0;0;250;0;0;0;0;0;21;0;0;0;3238;3576;0;0;0;104;0;0;1451;799;0;0;0;0;0;0;0;0;0;0
33;NI;Diepholz – Nienburg I;193097;142350;1496;1215;140854;141135;66862;61404;47067;44431;2797;6929;4933;6359;10651;11556;0;0;2166;2143;1288;1175;0;1196;0;102;0;0;0;0;0;0;0;0;0;0;0;137;0;0;0;0;0;21;0;0;0;3571;4840;0;0;0;169;0;0;903;673;0;0;0;0;0;0;0;0;0;616
34;NI;Osterholz – Verden;193643;144923;1502;1708;143421;143215;63174;57243;53660;47413;1359;5235;7195;8008;9729;13708;0;0;2516;2655;1289;1321;0;1250;0;90;0;0;0;0;0;0;0;0;0;0;0;190;0;0;0;0;0;58;0;0;0;4499;5487;0;0;0;165;0;0;0;392;0;0;0;0;0;0;0;0;0;0
35;NI;Rotenburg I – Heidekreis;167867;122823;1317;994;121506;121829;54448;53163;49301;38018;2097;4930;4758;5572;6026;10332;0;0;1875;1722;1617;1275;0;1028;0;68;0;0;0;0;0;0;0;0;0;0;0;174;0;0;0;0;0;22;0;0;0;0;4586;0;0;0;143;0;0;1384;796;0;0;0;0;0;0;0;0;0;0
36;NI;Harburg;194856;152819;1416;1219;151403;151600;68458;64905;47908;42915;5110;7382;5472;6641;10754;14078;0;0;2376;2499;1112;1193;0;1366;0;74;0;0;0;0;0;0;0;0;0;0;0;159;0;0;0;0;0;33;0;0;0;8704;9069;0;0;0;141;0;0;1509;1145;0;0;0;0;0;0;0;0;0;0
37;NI;Lüchow-Dannenberg – Lüneburg;179069;133574;1375;1158;132199;132416;52644;48756;44491;38415;2112;5281;7784;9202;15918;18892;0;0;2879;3000;1240;1145;0;1081;0;47;0;0;0;0;0;0;0;0;0;0;206;177;0;0;0;0;0;30;0;0;0;4925;5852;0;0;0;136;0;0;0;402;0;0;0;0;0;0;0;0;0;0
38;NI;Osnabrück-Land;197532;144853;1390;1120;143463;143733;76179;68972;46365;42214;2546;6599;5162;5783;8330;11046;0;0;2526;2188;1135;968;0;801;0;36;0;0;0;0;0;0;0;0;0;0;404;444;0;0;0;0;0;23;0;0;0;0;4060;0;0;0;121;0;0;816;478;0;0;0;0;0;0;0;0;0;0
39;NI;Stadt Osnabrück;194231;142840;1919;1641;140921;141199;64416;60754;49059;43099;3934;5874;5840;7188;12568;15390;0;0;3102;2794;884;652;0;815;0;49;0;0;0;0;0;0;0;0;0;0;290;226;0;0;0;0;0;33;0;0;0;0;3765;0;0;0;88;0;0;828;472;0;0;0;0;0;0;0;0;0;0
40;NI;Nienburg II – Schaumburg;195948;141773;1464;1156;140309;140617;58349;56279;62641;51043;1950;4993;4649;6006;8173;11370;0;0;2693;2108;1854;1216;0;1129;0;112;0;0;0;0;0;0;0;0;0;0;0;211;0;0;0;0;0;41;0;0;0;0;5514;0;0;0;159;0;0;0;436;0;0;0;0;0;0;0;0;0;0
41;NI;Stadt Hannover I;181122;129867;1888;1868;127979;127999;46650;42910;55711;45441;1889;6043;6435;7993;9876;15718;0;0;2434;2434;0;808;0;988;0;122;0;0;0;0;0;0;0;0;0;0;0;137;0;0;0;0;143;78;0;0;0;4051;4654;0;0;0;168;0;0;790;505;0;0;0;0;0;0;0;0;0;0
